Strain,Strain_rate,Stress,Temperature
0.62691,0.01,285.284,1123.15
0.35896,1.0,462.752,1173.15
0.85508,0.5,262.416,1293.15
0.62093,0.1,471.002,1123.15
0.31472,1.0,208.552,1373.15
0.6109,0.01,288.942,1123.15
0.61497,1.0,205.162,1373.15
0.83893,0.01,252.34,1123.15
0.48894,0.5,166.406,1423.15
0.14902,0.01,323.104,1173.15
0.13297,0.01,189.02,1223.15
0.80492,1.0,228.962,1323.15
0.58512,0.5,253.362,1293.15
0.27485,1.0,477.292,1173.15
0.31322,1.0,589.898,1073.15
0.8391,0.01,248.946,1173.15
0.71687,0.5,378.61,1173.15
0.23891,1.0,283.108,1273.15
0.13675,0.5,570.298,1123.15
0.44722,0.1,248.46,1223.15
0.79702,0.01,114.418,1273.15
0.26488,0.01,188.28,1223.15
0.58906,0.01,62.6028,1423.15
0.13481,1.0,493.49,1173.15
0.37897,0.5,228.8,1323.15
0.23316,1.0,283.872,1273.15
0.83112,0.5,278.668,1273.15
0.69079,1.0,438.488,1073.15
0.30913,0.1,175.092,1273.15
0.72895,1.0,389.814,1173.15
0.66475,1.0,271.31,1273.15
0.18481,1.0,489.182,1173.15
0.88473,0.1,104.236,1423.15
0.38691,0.01,350.358,1123.15
0.47459,0.1,246.332,1223.15
0.77302,0.5,227.754,1323.15
0.43875,1.0,175.204,1423.15
0.39515,0.01,134.956,1273.15
0.72505,1.0,313.94,1223.15
0.28505,1.0,240.066,1323.15
0.48721,0.01,102.272,1323.15
0.4109,0.5,514.274,1123.15
0.40298,0.01,344.79,1123.15
0.28879,1.0,208.09,1373.15
0.3549,0.5,194.404,1373.15
0.18708,0.01,93.078,1373.15
0.12504,0.01,104.492,1323.15
0.75487,0.01,71.4386,1373.15
0.89882,0.01,58.1138,1423.15
0.41698,1.0,175.618,1423.15
0.82696,0.5,195.956,1373.15
0.34283,0.5,163.556,1423.15
0.26699,0.1,153.758,1323.15
0.52919,0.5,333.78,1223.15
0.53086,0.5,253.992,1293.15
0.53868,0.1,145.394,1323.15
0.61836,0.5,273.596,1273.15
0.655,0.01,93.4086,1323.15
0.71105,1.0,436.574,1073.15
0.44313,0.1,248.418,1223.15
0.54881,0.1,347.744,1173.15
0.76118,0.1,134.336,1323.15
0.18908,1.0,354.742,1223.15
0.86726,0.01,58.4028,1423.15
0.80683,1.0,262.8,1273.15
0.22304,0.5,187.58,1373.15
0.15302,0.5,462.578,1173.15
0.57484,1.0,172.784,1423.15
0.45713,0.01,286.976,1173.15
0.89308,0.01,68.791,1373.15
0.6268,0.1,239.336,1223.15
0.79481,0.01,70.4876,1373.15
0.15321,0.5,289.708,1273.15
0.83713,0.1,233.684,1223.15
0.53683,1.0,208.26,1373.15
0.78917,0.5,324.32,1223.15
0.49703,0.5,197.838,1373.15
0.2311,0.01,109.906,1323.15
0.86489,0.5,194.57,1373.15
0.63487,0.5,162.308,1423.15
0.56718,1.0,208.184,1373.15
0.84301,0.1,105.412,1423.15
0.86716,0.01,68.9492,1373.15
0.61497,0.01,95.5634,1323.15
0.6189,0.1,471.828,1123.15
0.59073,1.0,238.274,1323.15
0.31504,0.1,174.98,1273.15
0.69498,0.01,156.906,1223.15
0.56706,0.01,123.928,1273.15
0.45324,1.0,209.83,1373.15
0.511,0.5,255.996,1293.15
0.13498,0.01,190.052,1223.15
0.4872,0.1,168.408,1273.15
0.74316,1.0,168.32,1423.15
0.45098,0.5,198.63,1373.15
0.41524,0.5,339.292,1223.15
0.45505,0.1,517.036,1123.15
0.42897,1.0,210.028,1373.15
0.66509,1.0,397.608,1173.15
