Strain,Strain_rate,Stress,Temperature
14.94928,0.01,0.00118,1273.15
20.0684,0.01,0.00246,1273.15
26.4218,0.01,0.00452,1273.15
33.6746,0.01,0.00648,1273.15
47.6962,0.01,0.0089,1273.15
63.6662,0.01,0.01123,1273.15
77.2214,0.01,0.01304,1273.15
88.9818,0.01,0.01475,1273.15
100.929,0.01,0.0169,1273.15
107.742,0.01,0.01902,1273.15
109.338,0.01,0.02116,1273.15
109.082,0.01,0.02286,1273.15
106.85,0.01,0.025,1273.15
105.512,0.01,0.02682,1273.15
107.352,0.01,0.02898,1273.15
107.364,0.01,0.03097,1273.15
107.81,0.01,0.0329,1273.15
108.876,0.01,0.03489,1273.15
108.996,0.01,0.03726,1273.15
110.228,0.01,0.0388,1273.15
110.28,0.01,0.04087,1273.15
110.268,0.01,0.04289,1273.15
110.258,0.01,0.0449,1273.15
109.636,0.01,0.04678,1273.15
110.526,0.01,0.0488,1273.15
110.588,0.01,0.05083,1273.15
110.96,0.01,0.05284,1273.15
111.878,0.01,0.0549,1273.15
111.726,0.01,0.05685,1273.15
113.168,0.01,0.05883,1273.15
114.126,0.01,0.06093,1273.15
114.236,0.01,0.06284,1273.15
116.412,0.01,0.06495,1273.15
116.884,0.01,0.06698,1273.15
116.848,0.01,0.06894,1273.15
118.338,0.01,0.07096,1273.15
118.632,0.01,0.07294,1273.15
118.788,0.01,0.07485,1273.15
120.974,0.01,0.07694,1273.15
121.252,0.01,0.07901,1273.15
121.338,0.01,0.08098,1273.15
122.082,0.01,0.08295,1273.15
122.374,0.01,0.085,1273.15
122.898,0.01,0.08688,1273.15
124.72,0.01,0.08903,1273.15
124.086,0.01,0.09094,1273.15
125.67,0.01,0.09305,1273.15
125.296,0.01,0.09502,1273.15
125.952,0.01,0.09702,1273.15
126.036,0.01,0.09898,1273.15
126.732,0.01,0.10083,1273.15
129.02,0.01,0.10299,1273.15
128.278,0.01,0.10493,1273.15
129.138,0.01,0.107,1273.15
129.218,0.01,0.10896,1273.15
129.594,0.01,0.11092,1273.15
130.944,0.01,0.11296,1273.15
130.558,0.01,0.11506,1273.15
129.714,0.01,0.11684,1273.15
132.548,0.01,0.11899,1273.15
131.776,0.01,0.12102,1273.15
131.912,0.01,0.12299,1273.15
132.464,0.01,0.12498,1273.15
132.55,0.01,0.1269,1273.15
133.394,0.01,0.12897,1273.15
133.758,0.01,0.131,1273.15
133.908,0.01,0.13308,1273.15
133.3,0.01,0.13503,1273.15
